dataset,label,curve,x,y,threshold
NIH internal test,Atelectasis,pr,0.9213483146067416,0.15045871559633028,
NIH internal test,Atelectasis,pr,0.9101123595505618,0.1488970588235294,
NIH internal test,Atelectasis,pr,0.9101123595505618,0.14917127071823205,
NIH internal test,Atelectasis,pr,0.9101123595505618,0.14944649446494465,
NIH internal test,Atelectasis,pr,0.9101123595505618,0.14972273567467653,
NIH internal test,Atelectasis,pr,0.9101123595505618,0.15,
NIH internal test,Atelectasis,pr,0.9101123595505618,0.150278293135436,
NIH internal test,Atelectasis,pr,0.9101123595505618,0.15055762081784388,
NIH internal test,Atelectasis,pr,0.9101123595505618,0.15083798882681565,
NIH internal test,Atelectasis,pr,0.9101123595505618,0.15111940298507462,
NIH internal test,Atelectasis,pr,0.9101123595505618,0.15140186915887852,
NIH internal test,Atelectasis,pr,0.9101123595505618,0.15168539325842698,
NIH internal test,Atelectasis,pr,0.9101123595505618,0.15196998123827393,
NIH internal test,Atelectasis,pr,0.898876404494382,0.15037593984962405,
NIH internal test,Atelectasis,pr,0.898876404494382,0.15065913370998116,
